session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,63.0,3.0,0.067,0.003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,64.0,3.0,0.08700000000000001,0.067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,65.0,3.0,0.14300000000000002,0.08700000000000001,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,66.0,3.0,0.012,0.14300000000000002,0.025,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,67.0,3.0,0.079,0.012,0.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,68.0,3.0,0.163,0.079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,69.0,3.0,0.043000000000000003,0.163,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,3.0,0.038,0.043000000000000003,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,71.0,3.0,0.201,0.038,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,72.0,3.0,0.041,0.201,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,73.0,3.0,0.044000000000000004,0.041,0.05,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,74.0,3.0,0.061000000000000006,0.044000000000000004,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,75.0,3.0,0.041,0.061000000000000006,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,76.0,3.0,0.328,0.041,0.5,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,77.0,3.0,0.186,0.328,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,78.0,3.0,0.045000000000000005,0.186,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,79.0,3.0,0.041,0.045000000000000005,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,80.0,3.0,0.075,0.041,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,81.0,3.0,0.045000000000000005,0.075,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,82.0,3.0,0.054,0.045000000000000005,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,83.0,3.0,0.04,0.054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,84.0,3.0,0.129,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,85.0,3.0,0.008,0.129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,86.0,3.0,0.007,0.008,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,87.0,3.0,0.068,0.007,0.05,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,88.0,3.0,0.044000000000000004,0.068,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,89.0,3.0,0.092,0.044000000000000004,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,90.0,3.0,0.066,0.092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,91.0,3.0,0.038,0.066,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,92.0,3.0,0.101,0.038,0.5,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,93.0,3.0,0.012,0.101,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,94.0,3.0,0.11900000000000001,0.012,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,95.0,3.0,0.063,0.11900000000000001,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,96.0,3.0,0.252,0.063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,97.0,3.0,0.059000000000000004,0.252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,98.0,3.0,0.10400000000000001,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,99.0,3.0,0.111,0.10400000000000001,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,100.0,3.0,0.060000000000000005,0.111,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,101.0,3.0,0.043000000000000003,0.060000000000000005,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,102.0,3.0,0.045000000000000005,0.043000000000000003,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,103.0,3.0,0.056,0.045000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,104.0,3.0,0.04,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,105.0,3.0,0.013000000000000001,0.04,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,106.0,3.0,0.041,0.013000000000000001,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,107.0,3.0,0.053000000000000005,0.041,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,108.0,3.0,0.002,0.053000000000000005,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,109.0,3.0,0.005,0.002,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,110.0,3.0,0.052000000000000005,0.005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
